Timestamp,Which format do you prefer to read from?,Choice of pairing beverage?,Do you ever listen to music while reading?,How do you want to read paperbacks/hardcovers ?,How many books have you read during the last six months?,Do you want to connect with fellow book readers?,What genres do you enjoy reading?
3/8/2021 19:55:15,Ebook,Coffee,Nope,I want to build a library duh!,10,Yes,"Fiction, Science fiction, Business, Literature, History, Humour, Romance"
3/8/2021 19:58:50,Paperback,Tea,Nope,I want to build a library duh!,2,Yes,"Literature, Philosophy, History"
3/8/2021 20:00:09,Paperback,Coffee,Nope,I wish I could read them without buying a lot of books,2,No,"Science fiction, Business"
3/8/2021 20:04:12,Hard cover,Tea,Nope,I want to build a library duh!,3,Yes,Business
3/8/2021 20:05:57,Hard cover,Tea,Nope,I wish I could read them without buying a lot of books,4,Yes,"Fiction, Humour, Romance"
3/8/2021 20:12:09,Hard cover,Tea,Nope,I wish I could read them without buying a lot of books,2,Yes,Science fiction
3/8/2021 20:14:53,Paperback,Tea,Nope,I want to build a library duh!,1,Yes! no. Well maybe....,"Fiction, Literature, Humour, Romance"
3/8/2021 20:18:17,Paperback,Coffee,Nope,I want to build a library duh!,7,Yes! no. Well maybe....,"Fiction, Science fiction, Philosophy, Romance, Something else"
3/8/2021 20:28:01,Paperback,Tea,"Yes, like my life",I wish I could read them without buying a lot of books,10,Yes! no. Well maybe....,"Science fiction, Business, History, Biography"
3/8/2021 20:28:30,Paperback,I do not drink but I know things,Nope,I wish I could read them without buying a lot of books,3,Yes! no. Well maybe....,"None other than those required for my coursework, Fiction, Science fiction, Humour"
3/8/2021 20:45:35,Paperback,I do not drink but I know things,Nope,I want to build a library duh!,5,Yes,"Fiction, Philosophy, Humour, Romance"
3/8/2021 20:48:08,Paperback,Coffee,Nope,I want to build a library duh!,4,Yes,"Fiction, Literature, Philosophy, Humour"
3/8/2021 20:51:34,Paperback,I do not drink but I know things,Nope,I want to build a library duh!,5,No,"Fiction, Philosophy, Religion, History, Biography, Travel, In fiction- fantasy fiction to be exact. Adventure books. Enid Blyton( a little kiddish ik). I also would like to read all the Vedas one by one."
3/8/2021 20:52:08,Audiobook,I do not drink but I know things,Nope,I wish I could read them without buying a lot of books,5,Yes! no. Well maybe....,"Fiction, Science fiction, Philosophy, Biography, Humour, Romance, Travel"
3/8/2021 20:57:47,Paperback,Coffee,Nope,I want to build a library duh!,9,Yes,"Fiction, Literature, Philosophy, History, Politics, Romance"
3/8/2021 21:39:56,Paperback,Tea,"Yes, like my life",I want to build a library duh!,4,Yes! no. Well maybe....,"Fiction, Literature, Religion, Politics"
3/8/2021 21:45:57,Ebook,Coffee,Nope,I wish I could read them without buying a lot of books,3,Yes! no. Well maybe....,"Fiction, Humour, Romance"
3/8/2021 22:13:32,Paperback,Coffee,Nope,I want to build a library duh!,4,Yes,Fiction
3/8/2021 22:14:53,Paperback,Tea,"Yes, like my life",I wish I could read them without buying a lot of books,5,No,"Fiction, Biography, Romance, Travel"
3/8/2021 22:26:48,Ebook,Coffee,"Yes, like my life",I wish I could read them without buying a lot of books,1,Yes! no. Well maybe....,"Fiction, Science fiction, Business, Religion, History, Film and photography, Politics, Humour, Romance, Travel"
3/8/2021 22:39:17,Hard cover,Coffee,Nope,I wish I could read them without buying a lot of books,1,Yes! no. Well maybe....,"Fiction, Literature, Biography, Humour, Romance, Travel"
3/8/2021 22:40:32,Ebook,I do not drink but I know things,Nope,I wish I could read them without buying a lot of books,4,Yes! no. Well maybe....,"Fiction, Humour, Romance, Travel"
3/8/2021 23:01:13,Ebook,Coffee,Nope,I want to build a library duh!,1,Yes! no. Well maybe....,Business
3/8/2021 23:08:29,Paperback,Tea,"Yes, like my life",I want to build a library duh!,6,Yes,"Fiction, Science fiction, Humour"
3/8/2021 23:15:24,Paperback,Alcohol,Nope,I wish I could read them without buying a lot of books,3,No,"Literature, History, Crime, investigative, war. "
3/8/2021 23:47:32,Paperback,Coffee,Nope,I wish I could read them without buying a lot of books,1,Yes,"Fiction, Literature, Romance"
3/9/2021 0:07:24,Paperback,Coffee,Nope,I wish I could read them without buying a lot of books,2,No,"Fiction, Philosophy"
3/9/2021 0:14:10,Hard cover,No drink necessary,Nope,I want to build a library duh!,2,Yes! no. Well maybe....,"Fiction, Business"
3/9/2021 0:15:25,Ebook,I do not drink but I know things,Nope,I wish I could read them without buying a lot of books,4,Yes! no. Well maybe....,"Fiction, Science fiction, Philosophy, Romance"
3/9/2021 0:19:03,Paperback,Coffee,Nope,I wish I could read them without buying a lot of books,1,No,None other than those required for my coursework
3/9/2021 0:27:52,Hard cover,Coffee,"Yes, like my life",I want to build a library duh!,3,Yes! no. Well maybe....,"Fiction, Science fiction, Literature, Humour, Romance"
3/9/2021 6:17:43,Paperback,I do not drink but I know things,Nope,I wish I could read them without buying a lot of books,4,Yes,"Fiction, Science fiction, Business, Literature, Philosophy, History, Film and photography, Biography, Politics, Humour"
3/9/2021 7:21:53,Ebook,Tea,"Yes, like my life",I want to build a library duh!,10,Yes,"Business, Literature, Politics"
3/9/2021 7:33:47,Paperback,Coffee,"Yes, like my life",I wish I could read them without buying a lot of books,2,Yes! no. Well maybe....,"Fiction, Science fiction, Film and photography, Humour"
